galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err,has_sigma_gas
CamB,1.2332437515104449,9,0.10000000000000002,0.0972755471021155,0.5000000000000001,12.13344905097687,340.4734444181361,63106.15381660135,29.999999999995243,5582.079134813592,3.2847822413819852e-22,10.149521597825965,True
D512-2,,4,0.10000000000000002,inf,3.1490917056866072,inf,40.587918823605406,inf,1.4510550394619042,inf,0.09999988624833665,inf,True
D564-8,0.10340746006449399,6,0.10000000000000002,0.46971624132948575,6.114428346518939,43297.88046101549,28.500688784870977,107.89667934962335,1.677783111482041,1.1399790836846073,5.65680401496784e-16,115.34869462470057,True
D631-7,0.40825718450970183,16,0.10000000000000002,0.18187636604420132,29.999999999999996,195107.48950754458,67.25168491210552,30.920125229924768,3.784139484348024,0.3510023675784503,0.09999999999999999,10.538719233551328,True
DDO064,0.4576719498345573,14,0.1954037755625972,0.26006676845504256,29.99999998421193,664198.98073583,65.27373485791576,132.12917414667567,2.1776684438810445,2.6809817809519108,8.745850484172042e-16,16.673403051692567,True
DDO154,2.424833187893531,12,0.39721715362360954,1.137487424886836,0.5000000000030984,3.783303353249083,52.819993228562424,1.1068687817012777,2.2877932142962685,0.16878744334354956,3.1645928060164533e-12,22.25786640138903,True
DDO161,0.49497811982421097,31,0.8215072474785668,0.41843834511973454,13.749636765082514,789.2081471181582,73.0055213295302,20.33206622129659,5.8175073830256645,1.25537228726605,5.6072398123989255e-05,8.148721621328155,True
DDO168,4.340710929313045,10,0.21946900457512183,1.2630969373883874,7.919325661647689,22682.152405904057,68.18062624738862,232.12493129169968,2.508241666049537,4.640528073949394,4.884848509614316e-16,54.977652928757486,True
DDO170,1.177959566080873,8,0.10000000000007668,109.82579271399895,0.5000000000000023,201.57100350333027,64.32567902396272,4.858053948893681,3.6611321456161208,3.78355956134203,0.09999999999722473,275.8156644082998,True
ESO079-G014,0.8767877288138488,15,0.10980048218955135,0.15978053240218215,19.719419344300682,1524.556026373423,195.16295457392258,115.0542138930362,7.554437599122588,4.05453649232013,4.606882891798311e-13,11.613562856326343,True
ESO116-G012,0.7852386259546431,15,0.10000000000000002,0.046787860818949784,18.265643812644406,5074.567769738633,116.76308437422631,46.137867388289195,2.9907802225823983,1.5343937872136442,0.09999999999999783,7.776797045693517,True
ESO444-G084,0.4760558319165805,7,0.4662095837143073,0.8245630006848151,29.999999998935827,448590.18207004847,67.97764182558879,89.76837718630352,1.475593965838766,3.106862283088402,0.09999999999711505,167.8093654563168,True
ESO563-G021,12.070763485662448,30,0.10000000000000002,0.12394807073169986,19.37457499461454,313.6236703495754,334.01816833339495,58.90250840682188,7.479826839493984,1.5358693871234763,6.152303544899491e-13,8.539401588028936,True
F561-1,0.2236025768910796,6,0.10000000000000002,0.3823902341974475,5.229891181936453,197.85494713335922,53.03787764162289,49.76349788815213,3.2209330552014337,4.756848328674956,0.09995054129059087,142.46694269426806,True
F563-1,0.5664384897414813,17,0.10000000000000012,1.0709503763029022,29.99999999996335,16873.160719680272,111.63965353683513,21.685037025365226,3.7235676515939846,1.5957668987199627,0.09999999999999999,24.262665840636664,True
F563-V1,0.82556005187824,6,0.10000000000000002,1.7741363682456825,5.297123854241897,2746.3195891295027,31.065904074862093,289.3021504408404,2.9430517514810948,28.6168983634334,0.09999999911166797,84.85767634675153,True
F563-V2,0.3080746330417238,10,0.10000000000000002,0.1501199778289394,9.712357571798034,4844.525499037185,125.88740299859532,105.41976578280233,2.7903746572468977,2.1406720399198877,0.09999999999999618,25.81742340211159,True
F565-V2,0.07187017925253895,7,0.10000000000000002,16.364756634710123,0.5000000000000067,49.273565141402585,95.60907035954435,7.2578168322883005,5.11614638795921,1.9380860738810597,1.2365727870841023e-27,183.1809312599597,True
F567-2,,5,0.10000000000000002,inf,5.123917253583477,inf,53.49155980661839,inf,2.903652368966066,inf,0.09999709207557816,inf,True
F568-1,0.10113214639252889,12,0.10000000000000003,0.2217547062116983,0.5000000000000001,3.962300496180254,141.67559173902544,2.5965929175120492,3.870691079458014,0.5588132178459215,2.137571924305438e-17,35.21372020264635,True
F568-3,0.9618376433309324,18,0.10000000000000002,0.2652077296972145,13.22652336774365,3796.903605133269,121.19159658826625,133.45465330578597,6.229835229990875,5.174419307456277,1.0502309493901259e-20,11.891852319265743,True
F568-V1,0.06966654849296577,15,0.10000000000000002,0.22289055866198462,7.200963524486705,231.33156840965228,120.40648078667873,10.607325795331832,2.8182696087916534,0.4819992872407755,9.394514565767392e-05,31.383040726331032,True
F571-8,4.880505259439383,13,0.10000000000000002,0.06674604509323342,0.8110475742118478,4.067207529669181,151.45751648823003,8.952990611446378,4.9321632988139,0.8670319296199893,9.414937094609973e-28,6.0224827604483995,True
F571-V1,0.09474790259440963,7,0.10000000000000002,124.38762726514616,0.5000000000000001,204.80318760586323,90.59071860943585,6.682066286529926,4.771220851734607,4.063714380039867,0.09999999623845632,192.96919843886795,True
F574-1,0.19761746842540306,14,0.10000000000000267,0.1138357153247981,0.5000000000000013,1.596274304825272,102.7951468610835,1.231890848561295,3.2620178090067933,0.4928858955840571,1.9570124253729443e-13,18.305449288517188,True
F574-2,,5,0.10000000000000657,inf,0.5478428649436762,inf,51.81196747624873,inf,8.971908209803095,inf,0.09999999999989827,inf,True
F579-V1,0.10099583120306724,14,0.10000000000000002,0.06407137217386899,29.999999999999996,785.725002675434,110.73117265119319,6.760715132325405,1.4972814541084294,0.30110416027618525,4.792800345503834e-18,25.153567281524655,True
F583-1,0.1189576756136459,25,0.10000000000000002,0.19897134839857109,16.330356299639558,8319.045796382323,91.66970480622042,31.21833282592289,4.623650715494105,1.2174739271705475,2.5381756887883072e-22,4.373320904744797,True
F583-4,0.5308492687332892,12,0.10000000000000464,0.09080115089843531,29.999999999999996,13076.923986777565,67.20639670448193,16.620859980107152,2.3156298198236094,0.7422201573616679,1.103743997251724e-20,3.4676673854011595,True
IC2574,1.905868155332595,34,0.716583870342762,0.32617699531007976,5.586755748192506,47.53054971069064,124.8436799115338,94.35884480180101,15.629332508445682,19.460360538489912,8.06205341619825e-08,8.336037558416477,True
IC4202,64.13013394565327,32,0.10000000000000002,12.146538835411786,0.5000000000000001,0.687404738857282,259.20404897292735,21.373107832242077,4.21407489695799,0.8442819297397233,0.09999999999995189,43.28449893253834,True
KK98-251,0.667465398755943,15,0.10000000000001254,0.7642524943141532,29.999999999991733,593065.4627060165,47.679662782765796,57.31482257134559,2.6310891187234295,2.3807347131322762,3.840135558735734e-16,29.894895179538583,True
NGC0024,0.26122247510602303,29,0.10000000198637038,0.4486670737541384,2.784375731726319,12.202024534408073,108.33375476451634,1.9868136576746878,1.0960707068245863,0.20524205801777917,7.24474270850373e-08,4.100154544033821,True
NGC0055,0.431817652262773,21,0.12022868697570045,0.30066373849012484,7.427679483642882,418.6971021941275,95.15315719522725,32.283887653890474,4.929068621354027,0.8077341888739292,1.1535916657699844e-10,7.383494784547137,True
NGC0100,0.18624626454338586,21,0.10000000000000002,0.06445493481783247,10.880634646818002,4822.052690556325,93.81629150823747,130.9572421484548,3.5125576859121947,2.689250208470245,1.690189262043028e-22,6.173477165137007,True
NGC0247,1.9234786645656474,26,1.1695261612297763,1.3797417392598141,3.129988305927395,31.141782895274332,114.39971578591312,37.04627931267479,6.840405448872004,20.805484963142014,0.0999764505197612,45.46209947849641,True
NGC0289,2.6797581451144175,28,0.6670322452481199,0.6811287377181041,5.662159250688789,9.971168264492665,173.76365354120568,4.137731643650358,4.669642852931274,10.029459546113388,4.17921786496153e-06,33.383914988287366,True
NGC0300,0.4399771184701889,25,0.7719948237439898,0.7244807504103712,29.99999999998967,4670.98766825657,98.47947465023934,81.18838245083396,4.356072713190981,3.1728004120275837,0.09999999999999999,29.141757083364666,True
NGC0801,4.38430439940853,13,0.202771273402617,0.1607578047864016,5.749091361236059,3.7570842451773356,218.85341146461593,3.5327103506070983,2.153766315151986,1.8318229993034416,0.09999999999999999,15.162639952468838,True
NGC0891,2.283043730408194,18,0.10000000000000002,0.13467393954075274,14.146574545285118,225.58496949988012,212.11540984852945,104.95354794589376,3.0026784736693735,3.271882009114081,3.786160628296979e-09,4.021171806281069,True
NGC1003,4.286038949224898,36,0.9386026693337899,1.0223200685678404,5.909118384537143,124.40111326422262,113.97601660284431,25.26352495264972,7.819617161897586,40.5000970886893,0.0011164918563605275,49.08499402278038,True
NGC1090,3.1459480783160005,24,0.10000000000000002,0.074911347643304,19.00541550895656,237.30577707679018,164.0282358153115,22.998386418426847,3.5633365250050315,1.105309531980217,2.3773670856336043e-16,3.2481169028773773,True
NGC1705,0.09188261461494024,14,0.2951984903485137,0.08183029259073873,2.808464330003584,21.43896730270794,72.07067720721535,5.229556213581803,0.5000000000005628,0.20796292240096506,0.09999999992677806,2.8037398878630344,True
NGC2366,0.9705360751310925,26,0.10000000000000002,0.13492696821764968,8.746149775012812,16316.241504962407,58.702784768648584,74.25305247839458,2.2844155846131144,0.6891087610609486,2.278622791851281e-18,3.1980172994595737,True
NGC2403,7.912315059265484,73,0.5044251446569034,0.05792522666770119,29.999999999651077,328.00293856707367,130.0669236102798,9.875720316037953,3.787393819093994,0.42357218318389034,8.206038752815885e-15,0.8405804948873054,True
NGC2683,3.801757701849892,11,0.6519107177678868,1.00056874995851,20.22461123701367,273.26145807081326,154.54730450582193,140.7610159117419,3.3928469401953363,17.54069202936442,0.09999312897030929,19.693203854582823,True
NGC2841,1.2493516074409405,50,0.980185682602607,0.25270772953036963,13.11004627381212,4.374899926409593,276.71874887027974,2.496836570197633,0.5000000000057562,0.9404807062641224,3.118756095563986e-15,15.340477399789949,True
NGC2903,9.53616882929924,34,0.22916471956294243,0.061423792284733464,12.872172515894276,43.96758797078643,184.65558058221998,20.271341758982487,1.6109296513670948,0.7637740061139842,1.3000759922233786e-12,1.722584760484289,True
NGC2915,0.3630796215628928,30,0.10000000000001084,0.3059827504800953,0.5000000000002276,16.63388210278499,85.14254322032413,1.5195688995958723,1.561174212948694,0.35799425002958013,2.7310319434406123e-16,16.84349241626933,True
NGC2955,25.99791666789719,24,0.10000000000000002,2.6561930140571217,0.5000000000000001,0.4460794963116406,273.94134132026403,21.176760966511832,2.069428170124817,1.0387524570869338,0.09999999999999999,23.260640818824065,True
NGC2976,0.8089859720316607,27,0.10000000000000002,0.13955302521518506,29.999999999999996,96715.30096002291,156.2443121746609,135.9902389532827,3.0894415988081367,1.7784134495293997,0.09999999999999999,1.6376282975200844,True
NGC2998,1.5922466912674647,13,0.4239930483840443,0.16614999035487774,29.999999999988937,170.2013594356133,203.2364924082366,49.71095720815203,8.703479108974271,2.2554426575850037,0.09999999999999999,12.732515178248319,True
NGC3109,0.17479886574192874,25,0.16858935652605572,0.21023585532890282,29.999999999689805,130400.17776104575,78.97955568990122,37.201376290783244,4.007074211566995,1.2432156049815513,0.09999999999756648,10.953827877807193,True
NGC3198,1.2935976763475088,43,0.4154186535528308,0.11788715541534224,23.93698749757929,61.835280136526066,147.30404556870812,8.644865800734525,4.960253053418591,0.9923131397329907,0.09975279595723552,1.8729409999336704,True
NGC3521,0.04902325240889208,41,0.6099820160883005,0.015969665733122123,5.898490853105507,1.8668925698828591,208.07617971928155,3.6625810990462635,5.222040347692585,0.7130315251540269,0.09999999999998792,0.2318642497871382,True
NGC3726,3.2900157991441854,12,0.31029277918028736,2.5409547012387,11.385296305406493,52.74996632826499,160.05572061164906,31.78919999616922,5.714226075098199,23.852309727713575,0.09999767665899512,26.50834874712096,True
NGC3741,1.3474890768318124,21,1.2399590371015714,0.5874534472742187,29.999999999999996,40582.83738186855,53.58936735485663,10.692149027589085,2.6916861359439896,0.24548270070673864,0.09999999999999999,6.883398936276235,True
