gal,chi2
D631-7,0.3809582425951167
DDO064,0.43256960109116865
DDO154,2.3830763697284483
DDO161,0.9349645063655804
DDO168,5.379064372476615
DDO170,0.9746195613527698
ESO079-G014,1.3496530006698917
ESO116-G012,1.9453926672856237
ESO444-G084,13.254746302372324
ESO563-G021,9.07111804104178
F561-1,0.1085744325290623
F563-1,0.5468540866643141
F563-V2,0.22721370768475993
F565-V2,0.07007743921477047
F567-2,inf
F568-1,0.054730605678650526
F568-3,0.7808363077451976
F568-V1,0.06685402870751564
F571-8,3.01112883371979
F571-V1,0.0478722392005674
F574-1,0.030138058826063
F579-V1,0.5916596633269289
F583-1,0.11191615377712685
F583-4,0.5439538622049418
IC2574,5.521163449648168
IC4202,3.4545379924677935
NGC0024,6.248092255260583
NGC0055,0.32578763305118286
NGC0100,0.08932964376870345
NGC0247,4.632071778735745
NGC0289,3.509718762497378
NGC0300,0.668841940267053
NGC0801,23.598429186651146
NGC0891,4.704709684653304
NGC1003,6.313216701210476
NGC1090,2.91137583013034
NGC1705,12.991658111506062
NGC2366,0.41349230343165755
NGC2403,44.127367223684026
NGC2683,8.43071065833365
NGC2841,4.544916748130355
NGC2903,46.87805932292268
NGC2915,0.44435476024190274
NGC2955,11.494515627462011
NGC2976,0.49758537684335313
NGC2998,2.931406205456602
NGC3109,0.26557210128501774
NGC3198,3.5521307139145155
NGC3521,16.788057672131846
NGC3726,3.874662738384871
NGC3741,3.14438162476085
NGC3769,0.6925682047269056
NGC3877,0.7073495228586573
NGC3893,3.6107326001325233
NGC3917,1.0604947099700364
NGC3949,1.6757156044019308
NGC3953,0.672617566908004
NGC3972,0.6432917378329627
NGC3992,9.832520772506815
NGC4010,1.8768675868469005
NGC4013,4.601356688256092
NGC4051,5.545030925005693
NGC4085,1.3865387942279757
NGC4088,2.055436493128924
NGC4100,6.127898528370384
NGC4138,7.118816129623051
NGC4157,1.447471269933471
NGC4183,0.32856477692501274
NGC4214,10.635374928589684
NGC4217,0.8545547903824058
NGC4389,0.8551606989571091
NGC4559,0.2766778621118052
NGC5005,2.2305727577135994
NGC5033,5.916039322478367
NGC5055,212.04093336064156
NGC5371,22.676912251049373
NGC5585,35.45743727311895
NGC5907,14.982089159652938
NGC5985,1.1048679380057906
NGC6015,9.244202760075202
NGC6195,4.551937272442842
NGC6503,14.313334808536903
NGC6674,5.295656195079014
NGC6946,10.177294026799025
NGC7331,3.6328581572811856
NGC7793,5.557941349025531
NGC7814,7.423388376289434
UGC00128,3.8049821459127675
UGC00191,7.759922527731977
UGC00731,0.5782242657034097
UGC00891,inf
UGC01230,0.5271721420668959
UGC01281,0.20042009809250808
UGC02023,inf
UGC02259,9.872185917763856
UGC02455,3.6063797949986593
UGC02487,12.25916879963718
UGC02885,6.870441052827374
UGC02916,41.53718995457556
UGC02953,59.78246688397601
UGC03205,2.2422804573117845
UGC03546,9.660789925860445
UGC03580,8.236244061666834
UGC04278,1.5640740494871455
UGC04325,10.147565733351238
UGC04499,0.1628404858715187
UGC05005,0.09329593101561245
UGC05253,117.0623900730379
UGC05414,1.1707947513193921
UGC05716,5.894556624145072
UGC05721,12.95684641550148
UGC05750,0.09567723019121267
UGC05764,65.12892877872187
UGC05829,0.3283981805291409
UGC05918,0.7360877689647635
UGC05986,2.048286753710017
UGC05999,inf
UGC06399,0.05199755025973788
UGC06446,0.8752559751355814
UGC06614,0.12411392353869004
UGC06667,0.21285045498020533
UGC06786,5.052658048209565
UGC06787,46.57603339296776
UGC06818,1.9102222698006395
UGC06917,0.26520555027568
UGC06923,1.733151581616701
UGC06930,0.08313598897721512
UGC06973,18.95296667788878
UGC06983,0.48723631727936967
UGC07089,0.321121159434652
UGC07125,0.28445846044178086
UGC07151,6.684219728190865
UGC07261,3.322418952516722
UGC07323,1.3202178480297815
UGC07399,11.07066325537209
UGC07524,0.633631864657252
UGC07603,5.677888588095863
UGC07608,0.10996508902785879
UGC07690,36.47727552134046
UGC08286,3.385971222572423
UGC08490,8.037146150804531
UGC08550,13.224993044837191
UGC08699,39.459896934239524
UGC08837,0.46441383720461404
UGC09037,0.614275772680754
UGC09133,24.764732702893017
UGC10310,0.11667906665840157
UGC11455,3.168280194320583
UGC11557,0.3613274256139641
UGC11820,19.18093643205569
UGC11914,126.54057143725804
UGC12506,0.6212656525801741
UGC12632,0.09227707458734481
UGC12732,3.133299078916747
UGCA442,1.6126820313475208
