galaxy,n_points,chi2_spum_red,chi2_nfw_red,aic_spum,aic_nfw,bic_spum,bic_nfw,delta_aic,delta_bic,spum_better_aic,spum_better_bic,nfw_params
CamB,9,0.3715893285529254,5.690823011948669,11.486357314211702,40.14493807169201,12.4724802008928,40.73661180370067,-28.65858075748031,-28.26413160280787,True,True,"2.91e+10,2.00"
D564-8,6,0.0677825630510778,1.2276606473347103,10.067782563051077,9.682981942004131,9.026579909191351,9.058260349688297,0.3848006210469457,-0.031680440496945295,False,True,"1.15e+11,2.00"
D631-7,16,0.3809583076671412,3.4331928264336966,14.190541384338553,50.631506743638056,18.05348499553746,52.9492729103574,-36.440965359299504,-34.89578791481994,True,True,"1.82e+12,2.00"
DDO064,14,0.4251054143144635,1.0955737443164464,13.825948728830172,18.051311187480913,17.021235376906464,19.968483176326686,-4.225362458650741,-2.9472477994202215,True,True,"6.98e+12,2.00"
DDO154,12,2.015620477425539,11.673123773531696,24.10934334197877,111.05811396178527,26.533876590918773,112.51283391114927,-86.9487706198065,-85.9789573202305,True,True,"7.13e+10,6.17"
DDO161,31,0.9393695523682838,1.5804492177238951,34.423608361575376,50.25257809626906,41.593544384001106,54.5545397097245,-15.828969734693686,-12.960995325723395,True,True,"1.32e+11,5.10"
DDO168,10,5.379064368517218,7.895500078344198,36.89532184258609,61.268500548409385,38.40824730755632,62.17625582739152,-24.373178705823292,-23.7680085198352,True,True,"6.80e+12,2.00"
DDO170,8,0.9746195619264812,3.460300685347864,12.923858685779443,23.30150342673932,13.321066394178622,23.539828051778827,-10.377644740959877,-10.218761657600204,True,True,"6.70e+10,6.98"
ESO079-G014,15,1.3496529994497268,6.08916263763782,23.49652999449727,79.06995165165384,27.036781000008318,81.19410225496047,-55.57342165715657,-54.15732125495215,True,True,"4.54e+12,6.03"
ESO116-G012,15,1.9490960196387264,4.312251389294478,29.490960196387263,57.747016671533736,33.031211201898316,59.87116727484037,-28.256056475146472,-26.83995607294205,True,True,"4.80e+11,9.86"
ESO444-G084,7,5.848566576173297,2.168996529604203,21.697133152346595,14.675986118416812,21.426683897623157,14.513716565582751,7.021147033929783,6.912967332040406,False,False,"1.08e+11,10.99"
F561-1,6,0.1085744325312765,0.29858350394201266,10.108574432531276,6.895750511826038,9.06737177867155,6.271028919510203,3.2128239207052376,2.7963428591613466,False,False,"4.00e+10,6.30"
F563-1,17,0.5463688736640335,1.1576128587939876,16.5564264839684,22.206580023115826,20.72249320424948,24.706220055284476,-5.650153539147425,-3.9837268510349944,True,True,"3.77e+11,7.93"
F563-V1,6,0.535851274441402,0.6443645409019082,10.535851274441402,7.933093622705725,9.494648620581676,7.30837203038989,2.6027576517356774,2.1862765901917864,False,False,"1.29e+10,3.47"
F563-V2,10,0.2251562923270128,1.675595409445083,11.125781461635064,17.72916786611558,12.638706926605295,18.636923145097718,-6.603386404480517,-5.9982162184924235,True,True,"1.66e+12,6.93"
F565-V2,7,0.0700774392647968,0.5320204493157135,10.140154878529593,8.128081797262855,9.869705623806158,7.965812244428793,2.0120730812667382,1.9038933793773651,False,False,"6.08e+12,2.00"
F568-1,12,0.0490023558697728,1.0628708692130222,10.34301649108841,15.5658378229172,12.76754974002841,17.0205577722812,-5.22282133182879,-4.25300803225279,True,True,"3.02e+12,5.83"
F568-3,18,0.7801338345485129,5.34744819939331,20.141739849130666,86.21172299089964,24.59359863861149,88.88283826458814,-66.06998314176897,-64.28923962597665,True,True,"7.30e+11,4.24"
F568-V1,15,0.0668161932357623,0.23359203479901705,10.668161932357624,8.803104417588205,14.208412937868674,10.927255020894835,1.8650575147694184,3.2811579169738394,False,False,"2.51e+11,15.00"
F571-8,13,3.01112885132992,10.02809674037547,34.08903081063936,106.28096740375472,36.913777597947046,107.97581547613933,-72.19193659311536,-71.06203787819229,True,True,"4.43e+12,4.82"
F571-V1,7,0.0478722391580287,0.6383610188197967,10.095744478316057,8.553444075279186,9.825295223592622,8.391174522445127,1.5423004030368705,1.4341207011474957,False,False,"2.42e+11,6.16"
F574-1,14,0.030138058826389,2.3742248363416425,10.271242529437501,32.11647319975807,13.466529177513793,34.03364518860384,-21.845230670320568,-20.56711601109005,True,True,"3.38e+11,8.09"
