code,name,industry,list_date,lunar,bazi,水,木,火,土,金,水_hide,木_hide,火_hide,土_hide,金_hide
000001,平安银行,J 金融业,1991-04-03,一九九一年二月十九,辛未/辛卯/癸卯/丁巳,0.125,0.25,0.25,0.125,0.25,0.13513513513513511,0.2027027027027027,0.25675675675675674,0.1081081081081081,0.2972972972972973
000002,万  科Ａ,K 房地产,1991-01-29,一九九〇年腊月十四,庚午/己丑/己亥/戊辰,0.125,0.0,0.125,0.625,0.125,0.12820512820512822,0.051282051282051294,0.08974358974358974,0.5897435897435898,0.14102564102564105
000009,中国宝安,J 金融业,1991-06-25,一九九一年五月十四,辛未/甲午/丙寅/癸巳,0.125,0.25,0.375,0.125,0.125,0.12658227848101267,0.2278481012658228,0.35443037974683544,0.13924050632911392,0.1518987341772152
000504,南华生物,M 科研服务,1992-12-08,一九九二年冬月十五,壬申/壬子/戊午/丁巳,0.375,0.0,0.375,0.125,0.125,0.381578947368421,0.0,0.31578947368421045,0.18421052631578946,0.11842105263157891
000017,深中华A,C 制造业,1992-03-31,一九九二年二月廿八,壬申/癸卯/丙午/癸巳,0.375,0.125,0.375,0.0,0.125,0.4210526315789473,0.09210526315789472,0.31578947368421045,0.05263157894736841,0.11842105263157891
000505,京粮控股,C 制造业,1992-12-21,一九九二年冬月廿八,壬申/壬子/辛未/癸巳,0.5,0.0,0.125,0.125,0.25,0.5064935064935064,0.012987012987012986,0.11688311688311685,0.11688311688311685,0.2467532467532467
000541,佛山照明,C 制造业,1993-11-23,一九九三年十月初十,癸酉/癸亥/戊申/丁巳,0.375,0.0,0.25,0.125,0.25,0.3815789473684211,0.02631578947368421,0.22368421052631576,0.15789473684210528,0.21052631578947364
000553,安道麦A,C 制造业,1993-12-03,一九九三年十月二十,癸酉/癸亥/戊午/丁巳,0.375,0.0,0.375,0.125,0.125,0.36000000000000004,0.02666666666666667,0.32,0.17333333333333334,0.11999999999999998
000029,深深房Ａ,K 房地产,1993-09-15,一九九三年七月廿九,癸酉/辛酉/己亥/己巳,0.25,0.0,0.125,0.25,0.375,0.23287671232876714,0.027397260273972608,0.09589041095890412,0.28767123287671237,0.3561643835616439
001914,招商积余,K 房地产,1994-09-28,一九九四年八月廿三,甲戌/癸酉/丁巳/乙巳,0.125,0.25,0.375,0.125,0.125,0.12987012987012986,0.2597402597402597,0.3246753246753247,0.11688311688311687,0.1688311688311688
000571,新大洲A,B 采矿业,1994-05-25,一九九四年四月十五,甲戌/己巳/辛亥/癸巳,0.25,0.125,0.25,0.25,0.125,0.2151898734177215,0.15189873417721517,0.18987341772151897,0.24050632911392406,0.20253164556962022
000045,深纺织Ａ,C 制造业,1994-08-15,一九九四年七月初九,甲戌/壬申/癸酉/丁巳,0.25,0.125,0.25,0.125,0.25,0.28571428571428575,0.12987012987012986,0.23376623376623376,0.11688311688311687,0.23376623376623373
000050,深天马Ａ,C 制造业,1995-03-15,一九九五年二月十五,乙亥/己卯/乙巳/庚辰,0.125,0.375,0.125,0.25,0.125,0.10526315789473684,0.4078947368421053,0.09210526315789473,0.2368421052631579,0.15789473684210525
000010,*ST美丽,E 建筑业,1995-10-27,一九九五年九月初四,乙亥/丙戌/辛卯/癸巳,0.25,0.25,0.25,0.125,0.125,0.2236842105263158,0.25,0.2368421052631579,0.10526315789473684,0.18421052631578946
000049,德赛电池,C 制造业,1995-03-20,一九九五年二月二十,乙亥/己卯/庚戌/庚辰,0.125,0.25,0.0,0.375,0.25,0.10526315789473682,0.2763157894736842,0.013157894736842105,0.3157894736842105,0.2894736842105263
000629,钒钛股份,C 制造业,1996-11-15,一九九六年十月初五,丙子/己亥/丙辰/癸巳,0.375,0.0,0.375,0.25,0.0,0.32894736842105265,0.052631578947368425,0.3552631578947369,0.2368421052631579,0.026315789473684213
000663,永安林业,A 农林牧渔,1996-12-06,一九九六年十月廿六,丙子/己亥/丁丑/乙巳,0.25,0.125,0.375,0.25,0.0,0.21052631578947367,0.15789473684210525,0.3552631578947369,0.2368421052631579,0.03947368421052632
000608,阳光股份,K 房地产,1996-09-19,一九九六年八月初七,丙子/丁酉/己未/己巳,0.125,0.0,0.375,0.375,0.125,0.09459459459459459,0.013513513513513514,0.39189189189189194,0.3783783783783784,0.1216216216216216
000792,盐湖股份,C 制造业,1997-09-04,一九九七年八月初三,丁丑/戊申/己酉/己巳,0.0,0.0,0.25,0.5,0.25,0.05194805194805195,0.0,0.22077922077922077,0.5064935064935064,0.22077922077922077
000682,东方电子,I 信息技术,1997-01-21,一九九六年腊月十三,丙子/辛丑/癸亥/丙辰,0.375,0.0,0.25,0.25,0.125,0.35526315789473684,0.052631578947368425,0.2631578947368421,0.18421052631578946,0.14473684210526316
000757,浩物股份,F 批发零售,1997-06-27,一九九七年五月廿三,丁丑/丙午/庚子/辛巳,0.125,0.0,0.5,0.125,0.25,0.11842105263157891,0.0,0.4473684210526315,0.13157894736842102,0.3026315789473684
000811,冰轮环境,C 制造业,1998-05-28,一九九八年五月初三,戊寅/丁巳/乙亥/辛巳,0.125,0.25,0.375,0.125,0.125,0.08860759493670885,0.24050632911392403,0.32911392405063283,0.16455696202531647,0.1772151898734177
000880,潍柴重机,C 制造业,1998-04-02,一九九八年三月初六,戊寅/乙卯/己卯/己巳,0.0,0.5,0.125,0.375,0.0,0.0,0.4189189189189189,0.12162162162162161,0.4324324324324325,0.027027027027027032
000821,ST京机,C 制造业,1998-06-26,一九九八年闰五月初三,戊寅/戊午/甲辰/己巳,0.0,0.25,0.25,0.5,0.0,0.012658227848101267,0.24050632911392406,0.20253164556962025,0.5189873417721519,0.025316455696202535
000915,华特达因,C 制造业,1999-06-09,一九九九年四月廿六,己卯/庚午/壬辰/乙巳,0.125,0.25,0.25,0.25,0.125,0.14473684210526316,0.24999999999999997,0.18421052631578944,0.2631578947368421,0.15789473684210525
000877,天山股份,C 制造业,1999-01-07,一九九八年冬月二十,戊寅/乙丑/己未/戊辰,0.0,0.25,0.0,0.75,0.0,0.037500000000000006,0.25,0.05,0.65,0.0125
000959,首钢股份,C 制造业,1999-12-16,一九九九年冬月初九,己卯/丙子/壬寅/乙巳,0.25,0.375,0.25,0.125,0.0,0.22972972972972971,0.3243243243243243,0.25675675675675674,0.16216216216216217,0.02702702702702703
000070,特发信息,C 制造业,2000-05-11,二〇〇〇年四月初八,庚辰/辛巳/己巳/己巳,0.0,0.0,0.375,0.375,0.25,0.0125,0.025,0.26249999999999996,0.375,0.32500000000000007
000988,华工科技,C 制造业,2000-06-08,二〇〇〇年五月初七,庚辰/壬午/丁酉/乙巳,0.125,0.125,0.375,0.125,0.25,0.14473684210526316,0.15789473684210525,0.3157894736842105,0.13157894736842105,0.25
000983,山西焦煤,B 采矿业,2000-07-26,二〇〇〇年六月廿五,庚辰/癸未/乙酉/辛巳,0.125,0.125,0.125,0.25,0.375,0.14285714285714285,0.1688311688311688,0.11688311688311685,0.1948051948051948,0.37662337662337664
000725,京东方Ａ,C 制造业,2001-01-12,二〇〇〇年腊月十八,庚辰/己丑/乙亥/庚辰,0.125,0.125,0.0,0.5,0.25,0.13924050632911392,0.20253164556962022,0.0,0.39240506329113917,0.26582278481012656
000875,电投绿能,D 水电煤气,2002-09-26,二〇〇二年八月二十,壬午/己酉/丁酉/乙巳,0.125,0.125,0.375,0.125,0.25,0.136986301369863,0.136986301369863,0.3287671232876712,0.17808219178082194,0.2191780821917808
002010,传化智联,L 商务服务,2004-06-29,二〇〇四年五月十二,甲申/庚午/己卯/己巳,0.0,0.25,0.25,0.25,0.25,0.026315789473684213,0.2236842105263158,0.18421052631578946,0.3157894736842105,0.25
002005,德豪润达,C 制造业,2004-06-25,二〇〇四年五月初八,甲申/庚午/乙亥/辛巳,0.125,0.25,0.25,0.0,0.375,0.11538461538461536,0.28205128205128205,0.17948717948717946,0.05128205128205128,0.3717948717948718
002016,世荣兆业,K 房地产,2004-07-08,二〇〇四年五月廿一,甲申/辛未/戊子/丁巳,0.125,0.125,0.25,0.25,0.25,0.11688311688311688,0.14285714285714288,0.24675324675324675,0.24675324675324675,0.24675324675324675
002048,宁波华翔,C 制造业,2005-06-03,二〇〇五年四月廿七,乙酉/辛巳/戊午/丁巳,0.0,0.125,0.5,0.125,0.25,0.0,0.13157894736842105,0.40789473684210525,0.1842105263157895,0.27631578947368424
002043,兔 宝 宝,C 制造业,2005-05-10,二〇〇五年四月初三,乙酉/辛巳/甲午/己巳,0.0,0.25,0.375,0.125,0.25,0.0,0.2631578947368421,0.2763157894736842,0.1842105263157895,0.27631578947368424
002050,三花智控,C 制造业,2005-06-07,二〇〇五年五月初一,乙酉/壬午/壬戌/乙巳,0.25,0.25,0.25,0.125,0.125,0.2631578947368421,0.2631578947368421,0.19736842105263158,0.13157894736842105,0.14473684210526314
002099,海翔药业,C 制造业,2006-12-26,二〇〇六年冬月初七,丙戌/庚子/己丑/己巳,0.125,0.0,0.25,0.5,0.125,0.11688311688311687,0.0,0.23376623376623376,0.45454545454545453,0.19480519480519481
002084,海鸥住工,C 制造业,2006-11-24,二〇〇六年十月初四,丙戌/己亥/丁巳/乙巳,0.125,0.125,0.5,0.25,0.0,0.08860759493670885,0.15189873417721517,0.4430379746835443,0.24050632911392406,0.0759493670886076
002083,孚日股份,C 制造业,2006-11-24,二〇〇六年十月初四,丙戌/己亥/丁巳/乙巳,0.125,0.125,0.5,0.25,0.0,0.08860759493670885,0.15189873417721517,0.4430379746835443,0.24050632911392406,0.0759493670886076
002104,恒宝股份,C 制造业,2007-01-10,二〇〇六年冬月廿二,丙戌/辛丑/甲辰/戊辰,0.0,0.125,0.125,0.625,0.125,0.05000000000000001,0.17500000000000002,0.13750000000000004,0.47500000000000003,0.16250000000000003
002195,岩山科技,I 信息技术,2007-12-12,二〇〇七年冬月初三,丁亥/壬子/庚辰/辛巳,0.375,0.0,0.25,0.125,0.25,0.32894736842105265,0.052631578947368425,0.2236842105263158,0.10526315789473684,0.2894736842105263
002145,钛能化学,C 制造业,2007-08-03,二〇〇七年六月廿一,丁亥/丁未/己巳/己巳,0.125,0.0,0.5,0.375,0.0,0.08860759493670885,0.0379746835443038,0.4556962025316456,0.36708860759493667,0.05063291139240506
002226,江南化工,C 制造业,2008-05-06,二〇〇八年四月初二,戊子/丁巳/丙午/癸巳,0.25,0.0,0.625,0.125,0.0,0.22368421052631574,0.0,0.5394736842105263,0.18421052631578946,0.05263157894736841
002268,电科网安,I 信息技术,2008-08-11,二〇〇八年七月十一,戊子/庚申/癸未/丁巳,0.25,0.0,0.25,0.25,0.25,0.24675324675324675,0.01298701298701299,0.24675324675324675,0.24675324675324678,0.24675324675324675
002232,启明信息,I 信息技术,2008-05-09,二〇〇八年四月初五,戊子/丁巳/己酉/己巳,0.125,0.0,0.375,0.375,0.125,0.0945945945945946,0.0,0.32432432432432434,0.4324324324324325,0.14864864864864863
002287,奇正藏药,C 制造业,2009-08-28,二〇〇九年七月初九,己丑/壬申/乙巳/辛巳,0.125,0.125,0.25,0.25,0.25,0.175,0.125,0.175,0.25,0.275
002318,久立特材,C 制造业,2009-12-11,二〇〇九年十月廿五,己丑/丙子/庚寅/辛巳,0.125,0.125,0.25,0.25,0.25,0.11688311688311685,0.09090909090909088,0.2467532467532467,0.24675324675324672,0.2987012987012987
002290,禾盛新材,C 制造业,2009-09-03,二〇〇九年七月十五,己丑/壬申/辛亥/癸巳,0.375,0.0,0.125,0.25,0.25,0.39240506329113917,0.02531645569620253,0.08860759493670885,0.24050632911392406,0.2531645569620253
002421,达实智能,I 信息技术,2010-06-03,二〇一〇年四月廿一,庚寅/辛巳/甲申/己巳,0.0,0.25,0.25,0.125,0.375,0.025,0.2125,0.19999999999999998,0.17500000000000002,0.38750000000000007
002383,合众思壮,C 制造业,2010-04-02,二〇一〇年二月十八,庚寅/己卯/壬午/乙巳,0.125,0.375,0.25,0.125,0.125,0.13157894736842105,0.3157894736842105,0.21052631578947364,0.1842105263157895,0.15789473684210525
002529,海源复材,C 制造业,2010-12-24,二〇一〇年冬月十九,庚寅/戊子/戊申/丁巳,0.125,0.125,0.25,0.25,0.25,0.11688311688311685,0.09090909090909088,0.2467532467532467,0.2987012987012987,0.2467532467532467
002577,雷柏科技,C 制造业,2011-04-28,二〇一一年三月廿六,辛卯/壬辰/癸丑/丁巳,0.25,0.125,0.25,0.25,0.125,0.29870129870129875,0.11688311688311687,0.22077922077922077,0.19480519480519481,0.16883116883116883
002579,中京电子,C 制造业,2011-05-06,二〇一一年四月初四,辛卯/癸巳/辛酉/癸巳,0.25,0.125,0.25,0.0,0.375,0.27027027027027023,0.09459459459459459,0.18918918918918917,0.02702702702702703,0.41891891891891897
002541,鸿路钢构,C 制造业,2011-01-18,二〇一〇年腊月十五,庚寅/己丑/癸酉/丙辰,0.125,0.125,0.125,0.375,0.25,0.16883116883116883,0.11688311688311687,0.15584415584415584,0.3246753246753247,0.23376623376623376
002651,利君股份,C 制造业,2012-01-06,二〇一一年腊月十三,辛卯/辛丑/丙寅/癸巳,0.125,0.25,0.25,0.125,0.25,0.1558441558441558,0.18181818181818177,0.2467532467532467,0.11688311688311685,0.2987012987012987
002686,亿利达,C 制造业,2012-07-03,二〇一二年五月十五,壬辰/丙午/乙丑/辛巳,0.125,0.125,0.375,0.25,0.125,0.16455696202531644,0.15189873417721517,0.30379746835443033,0.2151898734177215,0.16455696202531644
002695,煌上煌,C 制造业,2012-09-05,二〇一二年七月二十,壬辰/戊申/己巳/己巳,0.125,0.0,0.25,0.5,0.125,0.1625,0.025,0.175,0.5,0.13749999999999998
000333,美的集团,C 制造业,2013-09-18,二〇一三年八月十四,癸巳/辛酉/丁亥/乙巳,0.25,0.125,0.375,0.0,0.25,0.2236842105263158,0.15789473684210525,0.3157894736842105,0.026315789473684213,0.27631578947368424
002715,登云股份,C 制造业,2014-02-19,二〇一四年正月二十,甲午/丙寅/辛酉/壬辰,0.125,0.25,0.25,0.125,0.25,0.14473684210526316,0.24999999999999997,0.24999999999999997,0.13157894736842105,0.22368421052631576
002735,王子新材,C 制造业,2014-12-03,二〇一四年十月十二,甲午/乙亥/戊申/丁巳,0.125,0.25,0.375,0.125,0.125,0.11538461538461536,0.28205128205128205,0.30769230769230765,0.1794871794871795,0.11538461538461536
002719,ST麦趣,C 制造业,2014-01-28,二〇一三年腊月廿八,癸巳/乙丑/己亥/戊辰,0.25,0.125,0.125,0.5,0.0,0.25316455696202533,0.17721518987341772,0.08860759493670886,0.44303797468354433,0.037974683544303806
002741,光华科技,C 制造业,2015-02-16,二〇一四年腊月廿八,乙未/戊寅/癸亥/丙辰,0.25,0.25,0.125,0.375,0.0,0.22784810126582278,0.27848101265822783,0.1772151898734177,0.3164556962025316,0.0
002755,奥赛康,C 制造业,2015-05-15,二〇一五年三月廿七,乙未/辛巳/辛卯/癸巳,0.125,0.25,0.25,0.125,0.25,0.12987012987012989,0.2337662337662338,0.2077922077922078,0.11688311688311688,0.31168831168831174
002787,华源控股,C 制造业,2015-12-31,二〇一五年冬月廿一,乙未/戊子/辛巳/癸巳,0.25,0.125,0.25,0.25,0.125,0.2207792207792208,0.14285714285714288,0.2077922077922078,0.24675324675324678,0.18181818181818182
002830,名雕股份,E 建筑业,2016-12-13,二〇一六年冬月十五,丙申/庚子/己巳/己巳,0.125,0.0,0.375,0.25,0.25,0.11688311688311688,0.0,0.3116883116883117,0.29870129870129875,0.27272727272727276
002778,中晟高科,C 制造业,2016-01-06,二〇一五年冬月廿七,乙未/己丑/丁亥/乙巳,0.125,0.25,0.25,0.375,0.0,0.11392405063291139,0.2911392405063291,0.24050632911392406,0.31645569620253167,0.037974683544303806
002821,凯莱英,C 制造业,2016-11-18,二〇一六年十月十九,丙申/己亥/甲辰/己巳,0.125,0.125,0.25,0.375,0.125,0.12658227848101264,0.1772151898734177,0.2151898734177215,0.36708860759493667,0.11392405063291138
002891,中宠股份,C 制造业,2017-08-21,二〇一七年闰六月三十,丁酉/戊申/庚辰/辛巳,0.0,0.0,0.25,0.25,0.5,0.03896103896103896,0.025974025974025972,0.22077922077922074,0.24675324675324672,0.46753246753246747
002838,道恩股份,C 制造业,2017-01-06,二〇一六年腊月初九,丙申/辛丑/癸巳/丁巳,0.125,0.0,0.5,0.125,0.25,0.175,0.0,0.42500000000000004,0.12499999999999999,0.275
